behaviorSpaceRun,moranI,terr,mem,numPred
49,0.26158741473794034,None,None,1
50,0.2643789762973442,None,None,1
51,0.23290403620905584,None,None,2
52,0.24361108694101336,None,None,2
53,0.2698814052136911,None,None,2
54,0.2918021558019961,None,None,2
55,0.2359923690983439,None,None,2
56,0.267032037340226,None,None,2
57,0.23516433066607936,None,None,2
58,0.26761389602418395,None,None,2
59,0.2472636682213818,None,None,2
60,0.2706523582693364,None,None,2
61,0.2637644343886873,None,None,2
62,0.2231409178380412,None,None,2
63,0.26866734706081846,None,None,2
64,0.23693081665169624,None,None,2
65,0.2174247507585537,None,None,2
66,0.29274189237618414,None,None,2
67,0.24317275193217341,None,None,2
68,0.2185921560748863,None,None,2
69,0.24037803742331504,None,None,2
70,0.25224340655294214,None,None,2
71,0.2465038197532218,None,None,2
72,0.23859049784737513,None,None,2
73,0.2606924944136123,None,None,2
74,0.2249482733692403,None,None,2
75,0.24590127362480207,None,None,2
76,0.26364378865400623,None,None,2
77,0.24364725930982017,None,None,2
78,0.24156638283571505,None,None,2
79,0.2652631396952586,None,None,2
80,0.2500841862291663,None,None,2
81,0.23656312908627122,None,None,2
82,0.2577885866439035,None,None,2
83,0.24396486890116176,None,None,2
84,0.22139120366570508,None,None,2
85,0.2680315849375888,None,None,2
86,0.25649068790658763,None,None,2
87,0.27165279962412087,None,None,2
88,0.25781401746980454,None,None,2
89,0.24141741912286255,None,None,2
90,0.25348244996921515,None,None,2
91,0.23930683569401204,None,None,2
92,0.254507574509396,None,None,2
93,0.2234945649323656,None,None,2
94,0.23870015460704982,None,None,2
95,0.27091767823719265,None,None,2
96,0.24422017716568892,None,None,2
97,0.24245293746354274,None,None,2
98,0.26154937206063766,None,None,2
99,0.24792304459828618,None,None,2
100,0.23055858095549117,None,None,2
101,0.2246421064546515,None,None,3
102,0.25723048011314203,None,None,3
103,0.25834957338131176,None,None,3
104,0.23835526693216644,None,None,3
105,0.23018587812379493,None,None,3
106,0.23366068507673188,None,None,3
107,0.24128736687453262,None,None,3
108,0.2748695228072357,None,None,3
109,0.19958819705068317,None,None,3
110,0.2513313561131374,None,None,3
111,0.2367626332071482,None,None,3
112,0.2619796604093883,None,None,3
113,0.24016903064912146,None,None,3
114,0.242927962880488,None,None,3
115,0.23208341267611463,None,None,3
116,0.22927392368477773,None,None,3
117,0.2281404975283845,None,None,3
118,0.21560868580309478,None,None,3
119,0.25534624812495405,None,None,3
120,0.21951480981721866,None,None,3
121,0.23405709343420802,None,None,3
122,0.2547944866006047,None,None,3
123,0.21318324363998295,None,None,3
124,0.22239472519213868,None,None,3
125,0.2363531976253866,None,None,3
126,0.2256625254926468,None,None,3
127,0.25074640044688434,None,None,3
128,0.21457104929547913,None,None,3
129,0.22133277888827074,None,None,3
130,0.2487588080712402,None,None,3
131,0.2348261591465302,None,None,3
132,0.2246717581602216,None,None,3
