behaviorSpaceRun,componentID,members,terr,mem,numPred,meanDist
64,2,,None,Individual,2,23.099745642238652
64,3,,None,Individual,2,1.4314060372279283
65,1,,None,Individual,2,0.4387518774888606
65,2,,None,Individual,2,1.166730956968612
65,3,,None,Individual,2,60.48891227398621
65,4,,None,Individual,2,2.1342913908988175
66,1,,None,Individual,2,2.252505122790972
66,2,,None,Individual,2,3.386414476136358
67,1,,None,Individual,2,1.2329413145881736
67,2,,None,Individual,2,NA
67,3,,None,Individual,2,0.9352603999408702
67,4,,None,Individual,2,0.6299066169472924
67,5,,None,Individual,2,0.7797487779207262
67,6,,None,Individual,2,NA
67,7,,None,Individual,2,NA
68,1,,None,Individual,2,NA
68,2,,None,Individual,2,4.614654902839212
68,3,,None,Individual,2,2.5866246673995876
68,4,,None,Individual,2,NA
68,5,,None,Individual,2,NA
68,6,,None,Individual,2,NA
68,7,,None,Individual,2,0.9131231568391304
68,8,,None,Individual,2,NA
69,1,,None,Individual,2,1.1815385275951316
69,2,,None,Individual,2,1.8091106310136784
69,3,,None,Individual,2,13.277366374741456
70,1,,None,Individual,2,19.152977631745504
70,2,,None,Individual,2,0.5931743685172417
70,3,,None,Individual,2,0.8094479603608662
70,4,,None,Individual,2,0.568908544466369
71,1,,None,Individual,2,3.055834657647016
71,2,,None,Individual,2,9.128860843847784
71,3,,None,Individual,2,2.0359393334035603
72,1,,None,Individual,2,0.9586837189531833
72,2,,None,Individual,2,0.4451748566520446
72,3,,None,Individual,2,3.76316780711354
72,4,,None,Individual,2,80.46574530649671
72,5,,None,Individual,2,NA
72,6,,None,Individual,2,NA
72,7,,None,Individual,2,NA
73,1,,None,Individual,2,17.66450543047971
73,2,,None,Individual,2,1.1778633144086506
73,3,,None,Individual,2,0.0971442226794775
74,1,,None,Individual,2,1.739536314016357
74,2,,None,Individual,2,1.7195307432731104
74,3,,None,Individual,2,NA
74,4,,None,Individual,2,NA
74,5,,None,Individual,2,NA
74,6,,None,Individual,2,NA
75,1,,None,Individual,2,1.5573859366909002
75,2,,None,Individual,2,0.45974987220185354
75,3,,None,Individual,2,17.55599706292567
75,4,,None,Individual,2,0.4925418256351421
76,1,,None,Individual,2,0.1295038609463084
76,2,,None,Individual,2,18.428469051892847
77,1,,None,Individual,2,1.0207792783215963
77,2,,None,Individual,2,67.81272040502431
77,3,,None,Individual,2,1.185197149754861
77,4,,None,Individual,2,0.3868481090672157
77,5,,None,Individual,2,NA
77,6,,None,Individual,2,NA
78,1,,None,Individual,2,8.211540679763617
78,2,,None,Individual,2,16.35693472999528
79,1,,None,Individual,2,2.9288528104721654
79,2,,None,Individual,2,0.580602777979287
79,3,,None,Individual,2,NA
80,1,,None,Individual,2,2.4435113451132255
80,2,,None,Individual,2,43.906399682856645
80,3,,None,Individual,2,0.7629771812105025
80,4,,None,Individual,2,1.7425823292941605
80,5,,None,Individual,2,1.7194042652138595
81,1,,None,Individual,2,1.6363358587394532
81,2,,None,Individual,2,1.3750438334255817
81,3,,None,Individual,2,1.1400459331862072
81,4,,None,Individual,2,0.6232175106641545
82,1,,None,Individual,2,4.267504437816831
82,2,,None,Individual,2,2.1500180735723537
83,1,,None,Individual,2,3.7391509054395295
83,2,,None,Individual,2,0.8285687705591718
83,3,,None,Individual,2,0.9141764873371008
84,1,,None,Individual,2,4.8892143685533265
84,2,,None,Individual,2,1.9233508061270004
84,3,,None,Individual,2,1.6445064426751264
85,1,,None,Individual,2,3.641919199328352
85,2,,None,Individual,2,1.2301933397924982
85,3,,None,Individual,2,1.2181610757586137
86,1,,None,Individual,2,0.9869207315357165
86,2,,None,Individual,2,19.671707678661228
86,3,,None,Individual,2,2.0350254036727016
86,4,,None,Individual,2,0.6199751581921336
86,5,,None,Individual,2,0.41136403783210646
87,1,,None,Individual,2,9.218802819609426
87,2,,None,Individual,2,0.612710856410552
87,3,,None,Individual,2,1.5905148579092545
88,1,,None,Individual,2,1.2509056342652765
88,2,,None,Individual,2,22.998072349723618
88,3,,None,Individual,2,1.1114720964128053
89,1,,None,Individual,2,3.127782448777081
89,2,,None,Individual,2,1.4070692233462516
89,3,,None,Individual,2,17.888465068305887
89,4,,None,Individual,2,NA
89,5,,None,Individual,2,NA
89,6,,None,Individual,2,NA
90,1,,None,Individual,2,1.4935860111551946
90,2,,None,Individual,2,1.6450048588126405
90,3,,None,Individual,2,0.5363576961318608
91,1,,None,Individual,2,2.54804928686485
91,2,,None,Individual,2,NA
91,3,,None,Individual,2,NA
91,4,,None,Individual,2,NA
91,5,,None,Individual,2,NA
91,6,,None,Individual,2,NA
91,7,,None,Individual,2,NA
92,1,,None,Individual,2,1.4547274485501225
92,2,,None,Individual,2,2.009175940429813
93,1,,None,Individual,2,1.7399452515339393
93,2,,None,Individual,2,1.4703576824162186
93,3,,None,Individual,2,0.4505610946364513
94,1,,None,Individual,2,20.67034609278054
94,2,,None,Individual,2,2.2156770828738974
94,3,,None,Individual,2,1.9468753588303935
95,1,,None,Individual,2,5.141008663037402
95,2,,None,Individual,2,0.3175572588979884
96,1,,None,Individual,2,2.20234042733009
96,2,,None,Individual,2,NA
96,3,,None,Individual,2,0.3683733567998586
96,4,,None,Individual,2,1.5757145172904852
96,5,,None,Individual,2,NA
96,6,,None,Individual,2,NA
96,7,,None,Individual,2,NA
