"","behaviorSpaceRun","tick","compID","mean_within_dist","n_pairs","numPred"
"248","1",6900,1,3.66186981451548,98,1
"249","1",6950,1,3.31028027137353,136,1
"250","1",7000,1,2.51627425984598,160,1
"251","1",7050,1,2.57014044048696,158,1
"252","1",7100,1,2.14087426380971,66,1
"253","1",7100,2,1.74009184838248,21,1
"254","1",7150,1,2.32484881152663,171,1
"255","1",7200,1,2.69836096406186,171,1
"256","1",7250,1,3.49543216193296,109,1
"257","1",7300,1,2.77567351362109,135,1
"258","1",7350,1,2.94038966469356,131,1
"259","1",7400,1,2.87622572461886,135,1
"260","1",7450,1,2.82716145491017,134,1
"261","1",7500,1,3.0704891037712,133,1
"262","1",7550,1,3.22222218903714,128,1
"263","1",7600,1,3.08336293575377,122,1
"264","1",7650,1,2.72306614674717,124,1
"265","1",7700,1,2.4851214632089,121,1
"266","1",7750,1,2.47108310512254,114,1
"267","1",7800,1,1.84428282064555,105,1
"268","1",7800,2,1.27330920954562,6,1
"269","1",7850,1,1.86485570311214,55,1
"270","1",7850,2,1.07450811633903,6,1
"271","1",7850,3,1.1199945984014,6,1
"272","1",7900,1,2.08844278910667,103,1
"273","1",7900,2,0.796113211306495,6,1
"274","1",7950,1,1.95508522239975,104,1
"275","1",7950,2,1.17214545828516,6,1
"276","1",8000,1,2.40806459503618,110,1
"277","1",8000,2,0.964402354253819,6,1
"278","1",8050,1,2.20671050688638,104,1
"279","1",8050,2,1.11479527800689,6,1
"280","1",8100,1,3.05492623247848,91,1
"281","1",8150,1,2.92995033302406,141,1
"282","1",8150,2,3.36237190685385,1,1
"283","1",8200,1,2.5888644359537,131,1
"284","1",8200,2,3.25531719652632,1,1
"285","1",8250,1,2.64696885267847,143,1
"286","1",8250,2,3.19520035209062,1,1
"287","1",8300,1,2.82630908080193,147,1
"288","1",8350,1,2.86440602545661,142,1
"289","1",8400,1,2.53060148542679,133,1
"290","1",8450,1,2.33832300681381,129,1
"291","1",8500,1,2.33096927042929,128,1
"292","1",8550,1,2.71158412797437,120,1
"293","1",8600,1,2.52627747506189,129,1
"294","1",8650,1,2.63705430256258,119,1
"295","1",8700,1,2.61438203427794,102,1
"296","1",8750,1,2.82923060671542,140,1
"297","1",8800,1,2.62971398313424,121,1
"298","1",8800,2,4.19392933893741,1,1
"299","1",8850,1,2.60429817986975,164,1
"300","1",8900,1,2.82511171711973,163,1
"301","1",8950,1,2.74492287350702,123,1
"302","1",8950,2,4.94849367484692,1,1
"303","1",9000,1,2.73056071594583,152,1
"304","1",9050,1,2.9426276568926,152,1
"305","1",9100,1,3.09989060757556,141,1
"306","1",9150,1,2.79480175420644,136,1
"307","1",9200,1,2.23217442750322,118,1
"308","1",9250,1,1.95717575140726,105,1
"309","1",9250,2,2.10033131637119,6,1
"310","1",9300,1,1.78699727257418,15,1
"311","1",9300,2,2.59569567663648,57,1
"312","1",9350,1,2.02369749683122,18,1
"313","1",9350,2,3.15099690323458,67,1
"314","1",9400,1,1.11812595754284,15,1
"315","1",9400,2,2.77247824052341,69,1
"316","1",9450,1,1.04190582298471,15,1
"317","1",9450,2,2.92926522231601,67,1
