"","numPred","behaviorSpaceRun","tick","compID","compSize"
"186",1,"1",3150,1,3
"187",1,"1",3150,2,8
"188",1,"1",3150,3,9
"189",1,"1",3200,1,3
"190",1,"1",3200,2,8
"191",1,"1",3200,3,9
"192",1,"1",3250,1,3
"193",1,"1",3250,2,6
"194",1,"1",3250,3,9
"195",1,"1",3250,4,2
"196",1,"1",3300,1,3
"197",1,"1",3300,2,8
"198",1,"1",3300,3,9
"199",1,"1",3350,1,3
"200",1,"1",3350,2,8
"201",1,"1",3350,3,9
"202",1,"1",3400,1,3
"203",1,"1",3400,2,8
"204",1,"1",3400,3,9
"205",1,"1",3450,1,3
"206",1,"1",3450,2,8
"207",1,"1",3450,3,9
"208",1,"1",3500,1,3
"209",1,"1",3500,2,8
"210",1,"1",3500,3,9
"211",1,"1",3550,1,3
"212",1,"1",3550,2,8
"213",1,"1",3550,3,9
"214",1,"1",3600,1,3
"215",1,"1",3600,2,7
"216",1,"1",3600,3,9
"217",1,"1",3650,1,3
"218",1,"1",3650,2,8
"219",1,"1",3650,3,9
"220",1,"1",3700,1,3
"221",1,"1",3700,2,17
"222",1,"1",3750,1,12
"223",1,"1",3750,2,8
"224",1,"1",3800,1,12
"225",1,"1",3800,2,8
"226",1,"1",3850,1,20
"227",1,"1",3900,1,20
"228",1,"1",3950,1,20
"229",1,"1",4000,1,20
"230",1,"1",4050,1,20
"231",1,"1",4100,1,20
"232",1,"1",4150,1,20
"233",1,"1",4200,1,4
"234",1,"1",4200,2,11
"235",1,"1",4200,3,5
"236",1,"1",4250,1,4
"237",1,"1",4250,2,16
"238",1,"1",4300,1,4
"239",1,"1",4300,2,16
"240",1,"1",4350,1,20
"241",1,"1",4400,1,20
"242",1,"1",4450,1,20
"243",1,"1",4500,1,20
"244",1,"1",4550,1,20
"245",1,"1",4600,1,20
"246",1,"1",4650,1,20
"247",1,"1",4700,1,20
"248",1,"1",4750,1,10
"249",1,"1",4750,2,10
"250",1,"1",4800,1,20
"251",1,"1",4850,1,2
"252",1,"1",4850,2,18
"253",1,"1",4900,1,20
"254",1,"1",4950,1,19
"255",1,"1",5000,1,17
"256",1,"1",5000,2,2
"257",1,"1",5050,1,17
"258",1,"1",5050,2,2
"259",1,"1",5100,1,17
"260",1,"1",5100,2,2
"261",1,"1",5150,1,17
"262",1,"1",5150,2,2
"263",1,"1",5200,1,17
"264",1,"1",5200,2,2
"265",1,"1",5250,1,17
"266",1,"1",5300,1,17
"267",1,"1",5300,2,2
"268",1,"1",5350,1,8
"269",1,"1",5350,2,9
"270",1,"1",5350,3,2
"271",1,"1",5400,1,20
"272",1,"1",5450,1,17
"273",1,"1",5450,2,3
"274",1,"1",5500,1,17
"275",1,"1",5500,2,3
"276",1,"1",5550,1,17
"277",1,"1",5550,2,3
"278",1,"1",5600,1,17
"279",1,"1",5600,2,3
"280",1,"1",5650,1,17
"281",1,"1",5650,2,3
"282",1,"1",5700,1,17
"283",1,"1",5700,2,3
"284",1,"1",5750,1,20
"285",1,"1",5800,1,10
"286",1,"1",5800,2,10
"287",1,"1",5850,1,20
"288",1,"1",5900,1,2
"289",1,"1",5900,2,18
"290",1,"1",5950,1,2
"291",1,"1",5950,2,12
"292",1,"1",5950,3,6
"293",1,"1",6000,1,2
"294",1,"1",6000,2,18
"295",1,"1",6050,1,2
"296",1,"1",6050,2,18
"297",1,"1",6100,1,2
"298",1,"1",6100,2,13
"299",1,"1",6100,3,5
"300",1,"1",6150,1,2
"301",1,"1",6150,2,17
"302",1,"1",6200,1,2
"303",1,"1",6200,2,16
"304",1,"1",6200,3,2
"305",1,"1",6250,1,2
"306",1,"1",6250,2,18
"307",1,"1",6300,1,2
"308",1,"1",6300,2,18
"309",1,"1",6350,1,2
"310",1,"1",6350,2,18
"311",1,"1",6400,1,2
"312",1,"1",6400,2,18
"313",1,"1",6450,1,2
"314",1,"1",6450,2,17
"315",1,"1",6500,1,2
"316",1,"1",6500,2,18
"317",1,"1",6550,1,2
"318",1,"1",6550,2,18
"319",1,"1",6600,1,2
"320",1,"1",6600,2,18
"321",1,"1",6650,1,2
"322",1,"1",6650,2,18
"323",1,"1",6700,1,2
"324",1,"1",6700,2,18
"325",1,"1",6750,1,2
"326",1,"1",6750,2,18
"327",1,"1",6800,1,2
"328",1,"1",6800,2,18
"329",1,"1",6850,1,2
"330",1,"1",6850,2,18
"331",1,"1",6900,1,2
"332",1,"1",6900,2,18
"333",1,"1",6950,1,2
"334",1,"1",6950,2,6
"335",1,"1",6950,3,7
"336",1,"1",6950,4,2
"337",1,"1",7000,1,2
"338",1,"1",7000,2,8
"339",1,"1",7000,3,7
"340",1,"1",7000,4,2
"341",1,"1",7050,1,2
"342",1,"1",7050,2,15
"343",1,"1",7050,3,2
"344",1,"1",7100,1,2
"345",1,"1",7100,2,15
"346",1,"1",7100,3,2
"347",1,"1",7150,1,2
"348",1,"1",7150,2,10
"349",1,"1",7150,3,5
"350",1,"1",7150,4,2
"351",1,"1",7200,1,2
"352",1,"1",7200,2,12
"353",1,"1",7200,3,3
"354",1,"1",7200,4,2
"355",1,"1",7250,1,2
"356",1,"1",7250,2,15
"357",1,"1",7250,3,2
"358",1,"1",7300,1,2
