"","numPred","behaviorSpaceRun","tick","compID","compSize"
"185",1,"1",4900,2,3
"186",1,"1",4950,1,16
"187",1,"1",4950,2,3
"188",1,"1",5000,1,16
"189",1,"1",5000,2,4
"190",1,"1",5050,1,14
"191",1,"1",5050,2,4
"192",1,"1",5100,1,3
"193",1,"1",5100,2,14
"194",1,"1",5100,3,2
"195",1,"1",5150,1,15
"196",1,"1",5150,2,2
"197",1,"1",5200,1,20
"198",1,"1",5250,1,17
"199",1,"1",5250,2,3
"200",1,"1",5300,1,20
"201",1,"1",5350,1,20
"202",1,"1",5400,1,20
"203",1,"1",5450,1,20
"204",1,"1",5500,1,20
"205",1,"1",5550,1,20
"206",1,"1",5600,1,7
"207",1,"1",5600,2,13
"208",1,"1",5650,1,20
"209",1,"1",5700,1,20
"210",1,"1",5750,1,20
"211",1,"1",5800,1,20
"212",1,"1",5850,1,20
"213",1,"1",5900,1,20
"214",1,"1",5950,1,20
"215",1,"1",6000,1,20
"216",1,"1",6050,1,19
"217",1,"1",6100,1,11
"218",1,"1",6100,2,8
"219",1,"1",6150,1,20
"220",1,"1",6200,1,20
"221",1,"1",6250,1,19
"222",1,"1",6300,1,19
"223",1,"1",6350,1,19
"224",1,"1",6400,1,19
"225",1,"1",6450,1,20
"226",1,"1",6500,1,20
"227",1,"1",6550,1,20
"228",1,"1",6600,1,20
"229",1,"1",6650,1,20
"230",1,"1",6700,1,20
"231",1,"1",6750,1,16
"232",1,"1",6750,2,4
"233",1,"1",6800,1,9
"234",1,"1",6800,2,8
"235",1,"1",6800,3,2
"236",1,"1",6850,1,5
"237",1,"1",6850,2,13
"238",1,"1",6850,3,2
"239",1,"1",6900,1,18
"240",1,"1",6900,2,2
"241",1,"1",6950,1,18
"242",1,"1",7000,1,19
"243",1,"1",7050,1,20
"244",1,"1",7100,1,20
"245",1,"1",7150,1,20
"246",1,"1",7200,1,20
"247",1,"1",7250,1,20
"248",1,"1",7300,1,20
"249",1,"1",7350,1,19
"250",1,"1",7400,1,17
"251",1,"1",7400,2,2
"252",1,"1",7450,1,19
"253",1,"1",7500,1,17
"254",1,"1",7500,2,2
"255",1,"1",7550,1,19
"256",1,"1",7600,1,19
"257",1,"1",7650,1,20
"258",1,"1",7700,1,20
"259",1,"1",7750,1,20
"260",1,"1",7800,1,16
"261",1,"1",7800,2,4
"262",1,"1",7850,1,20
"263",1,"1",7900,1,2
"264",1,"1",7900,2,18
"265",1,"1",7950,1,20
"266",1,"1",8000,1,20
"267",1,"1",8050,1,16
"268",1,"1",8050,2,4
"269",1,"1",8100,1,9
"270",1,"1",8100,2,11
"271",1,"1",8150,1,20
"272",1,"1",8200,1,20
"273",1,"1",8250,1,19
"274",1,"1",8300,1,20
"275",1,"1",8350,1,19
"276",1,"1",8400,1,20
"277",1,"1",8450,1,20
"278",1,"1",8500,1,18
"279",1,"1",8500,2,2
"280",1,"1",8550,1,17
"281",1,"1",8550,2,2
"282",1,"1",8600,1,17
"283",1,"1",8600,2,3
"284",1,"1",8650,1,13
"285",1,"1",8650,2,7
"286",1,"1",8700,1,14
"287",1,"1",8700,2,2
"288",1,"1",8700,3,3
"289",1,"1",8750,1,20
"290",1,"1",8800,1,20
"291",1,"1",8850,1,20
"292",1,"1",8900,1,20
"293",1,"1",8950,1,20
"294",1,"1",9000,1,16
"295",1,"1",9000,2,4
"296",1,"1",9050,1,20
"297",1,"1",9100,1,11
"298",1,"1",9100,2,9
"299",1,"1",9150,1,17
"300",1,"1",9150,2,3
"301",1,"1",9200,1,17
"302",1,"1",9200,2,3
"303",1,"1",9250,1,17
"304",1,"1",9250,2,3
"305",1,"1",9300,1,14
"306",1,"1",9300,2,3
"307",1,"1",9300,3,3
"308",1,"1",9350,1,17
"309",1,"1",9350,2,3
"310",1,"1",9400,1,20
"311",1,"1",9450,1,20
"312",1,"1",9500,1,20
"313",1,"1",9550,1,20
"314",1,"1",9600,1,20
"315",1,"1",9650,1,20
"316",1,"1",9700,1,15
"317",1,"1",9700,2,5
"318",1,"1",9750,1,15
"319",1,"1",9750,2,5
"320",1,"1",9800,1,20
"321",1,"1",9850,1,17
"322",1,"1",9850,2,3
"323",1,"1",9900,1,11
"324",1,"1",9900,2,9
"325",1,"1",9950,1,11
"326",1,"1",9950,2,9
"327",1,"2",0,1,2
"328",1,"2",0,2,2
"329",1,"2",0,3,3
"330",1,"2",0,4,4
"331",1,"2",50,1,2
"332",1,"2",50,2,2
"333",1,"2",50,3,2
"334",1,"2",50,4,3
"335",1,"2",50,5,5
"336",1,"2",50,6,2
"337",1,"2",100,1,2
"338",1,"2",100,2,2
"339",1,"2",100,3,4
"340",1,"2",100,4,6
"341",1,"2",150,1,2
"342",1,"2",150,2,6
"343",1,"2",150,3,8
"344",1,"2",200,1,12
"345",1,"2",200,2,7
"346",1,"2",250,1,4
"347",1,"2",250,2,7
"348",1,"2",250,3,8
"349",1,"2",300,1,3
"350",1,"2",300,2,2
"351",1,"2",300,3,14
"352",1,"2",350,1,13
"353",1,"2",350,2,2
"354",1,"2",350,3,5
"355",1,"2",400,1,18
"356",1,"2",400,2,2
"357",1,"2",450,1,2
"358",1,"2",450,2,2
"359",1,"2",450,3,8
